window,TP,FP,FN,precision,recall,f1,latency_sec,num_generated,num_ground_truth
3700,12,0,1,1.0,0.9230769230769231,0.9600000000000001,0.24404191970825195,12,13
3710,14,0,1,1.0,0.9333333333333333,0.9655172413793104,0.19185900688171387,14,15
3720,14,0,1,1.0,0.9333333333333333,0.9655172413793104,0.198960542678833,14,15
3730,12,0,2,1.0,0.8571428571428571,0.923076923076923,0.18094420433044434,12,14
3740,12,0,1,1.0,0.9230769230769231,0.9600000000000001,0.1810619831085205,12,13
3750,13,0,1,1.0,0.9285714285714286,0.962962962962963,0.1493067741394043,13,14
3760,14,0,1,1.0,0.9333333333333333,0.9655172413793104,0.22969985008239746,14,15
3770,15,0,1,1.0,0.9375,0.967741935483871,0.20021867752075195,15,16
3780,18,0,2,1.0,0.9,0.9473684210526316,0.26150059700012207,18,20
3790,31,0,2,1.0,0.9393939393939394,0.96875,0.514453649520874,31,33
3800,34,0,2,1.0,0.9444444444444444,0.9714285714285714,0.545795202255249,34,36
3810,35,0,2,1.0,0.9459459459459459,0.9722222222222222,0.39083385467529297,35,37
3820,39,0,2,1.0,0.9512195121951219,0.975,0.6407339572906494,39,41
3830,35,0,2,1.0,0.9459459459459459,0.9722222222222222,0.6400609016418457,35,37
3840,38,0,2,1.0,0.95,0.9743589743589743,0.6744956970214844,38,40
3850,37,0,2,1.0,0.9487179487179487,0.9736842105263158,0.6649999618530273,37,39
3860,37,0,2,1.0,0.9487179487179487,0.9736842105263158,0.38451313972473145,37,39
3870,40,0,2,1.0,0.9523809523809523,0.975609756097561,0.4570136070251465,40,42
3880,34,0,2,1.0,0.9444444444444444,0.9714285714285714,0.32833075523376465,34,36
3890,28,0,2,1.0,0.9333333333333333,0.9655172413793104,0.40015506744384766,28,30
3900,26,0,2,1.0,0.9285714285714286,0.962962962962963,0.6895687580108643,26,28
3910,23,0,2,1.0,0.92,0.9583333333333334,0.4705464839935303,23,25
3920,18,0,2,1.0,0.9,0.9473684210526316,0.22552251815795898,18,20
3930,21,0,2,1.0,0.9130434782608695,0.9545454545454545,0.28769803047180176,21,23
3940,14,0,1,1.0,0.9333333333333333,0.9655172413793104,0.18218302726745605,14,15
3950,18,0,1,1.0,0.9473684210526315,0.972972972972973,0.30057549476623535,18,19
3960,20,0,1,1.0,0.9523809523809523,0.975609756097561,0.2467057704925537,20,21
3970,15,0,2,1.0,0.8823529411764706,0.9375,0.17745351791381836,15,17
3980,15,0,2,1.0,0.8823529411764706,0.9375,0.21880245208740234,15,17
3990,15,0,2,1.0,0.8823529411764706,0.9375,0.4115879535675049,15,17
4000,16,0,1,1.0,0.9411764705882353,0.9696969696969697,0.27802181243896484,16,17
4010,18,0,1,1.0,0.9473684210526315,0.972972972972973,0.24731183052062988,18,19
4020,17,0,1,1.0,0.9444444444444444,0.9714285714285714,0.21178960800170898,17,18
4030,19,0,1,1.0,0.95,0.9743589743589743,0.2638540267944336,19,20
